host,name,resource_url,category,signal,relevance,why,contact_route
pypi.org,presidio-hardened-x402,https://pypi.org/project/presidio-hardened-x402/,verification/hardening,DIRECT,highest,pre-signing hardening: PII redaction + spending-policy + replay detection before payment is signed,https://pypi.org/.well-known/x402 (public manifest / project site)
agents.melis.ai,melis.ai x402 Tools,https://agents.melis.ai,security/audit,security,adjacent,xAudit response auditing + prompt-injection screening (23 audit-verified endpoints),https://agents.melis.ai/.well-known/x402 (public manifest / project site)
x402-secure-api.t54.ai,t54.ai secure-api,https://x402-secure-api.t54.ai,security,security,adjacent,server security assessment with risk scoring,https://x402-secure-api.t54.ai/.well-known/x402 (public manifest / project site)
eltociear-skill-audit.hf.space,skill-audit / tokenguard / contract-guard,https://eltociear-skill-audit.hf.space,security/audit,security,adjacent,MCP server security scanner + ERC-20 rug scanner + contract risk check,https://eltociear-skill-audit.hf.space/.well-known/x402 (public manifest / project site)
www.npmjs.com,ShieldAPI MCP,https://www.npmjs.com/package/shieldapi-mcp,security,security,adjacent,breach/domain/URL/skill scanning (9 tools),https://www.npmjs.com/.well-known/x402 (public manifest / project site)
daizyx402.com:5402,Daizyx402 Security Research,https://daizyx402.com:5402,security,security,adjacent,AI-powered smart-contract security analysis,https://daizyx402.com:5402/.well-known/x402 (public manifest / project site)
gpt55.558686.xyz,GPT55 x402,https://gpt55.558686.xyz,security/risk,security,adjacent,"wallet safety, EIP-712 risk decoding, approval auditing",https://gpt55.558686.xyz/.well-known/x402 (public manifest / project site)
api.solprobe.xyz,SolProbe / RugGuard / SolSignal,https://api.solprobe.xyz,security/risk,risk,adjacent,"token risk scanners (A-F grades, wash-trade detection, rug heuristics)",https://api.solprobe.xyz/.well-known/x402 (public manifest / project site)
osf-master-server.com,OSF - Open Source Filings,https://osf-master-server.com,provenance/compliance,provenance,adjacent,every record ships a provenance URL back to its authoritative primary source,https://osf-master-server.com/.well-known/x402 (public manifest / project site)
globalapi.dev,GlobalAPI,https://globalapi.dev,compliance,compliance,adjacent,"OFAC/FCDO/UN screening, 43 compliance/macro endpoints",https://globalapi.dev/.well-known/x402 (public manifest / project site)
compliance-api-ruddy.vercel.app,CYBERA Compliance API,https://compliance-api-ruddy.vercel.app,compliance,compliance,adjacent,"VASP identification, crypto compliance risk scoring",https://compliance-api-ruddy.vercel.app/.well-known/x402 (public manifest / project site)
sanctions.hugen.tokyo,Sanctions Screening API,https://sanctions.hugen.tokyo,compliance,compliance,adjacent,"OFAC/EU/UN screening, 26,800+ entities, fuzzy matching",https://sanctions.hugen.tokyo/.well-known/x402 (public manifest / project site)
api.melvea.com,Melvea,https://api.melvea.com,provenance,provenance,adjacent,every datum resolvable to a real published source (DOI/PMID),https://api.melvea.com/.well-known/x402 (public manifest / project site)
romefeller.app,romefeller.app,https://romefeller.app,compliance/provenance,compliance,adjacent,PII scrub + document completeness verify + receipt extraction,https://romefeller.app/.well-known/x402 (public manifest / project site)
x402.payperbyte.io,PayPerByte oracles,https://x402.payperbyte.io/feeds,oracle/blockchain-data,oracle,adjacent,address-reputation + sanctions decision oracles; per-byte feeds,https://x402.payperbyte.io/.well-known/x402 (public manifest / project site)
data.crestsystems.ai,Crest x402 Data,https://data.crestsystems.ai,blockchain-data,blockchain data,adjacent,"wallet profiling, whale scoring, risk assessment",https://data.crestsystems.ai/.well-known/x402 (public manifest / project site)
api.deepnets.ai,Deepnets / OpenPulsechain / Rug Munch,https://api.deepnets.ai,blockchain-data,blockchain data,adjacent,"token intelligence, analytics, 117+ tools",https://api.deepnets.ai/.well-known/x402 (public manifest / project site)
seneschal.space,Seneschal,https://seneschal.space,blockchain-data/proof,state proof,adjacent,HMAC-signed payment webhooks; on-chain proof via Solana anchors,https://seneschal.space/.well-known/x402 (public manifest / project site)
docs.bitquery.io,bitquery x402 Data API,https://docs.bitquery.io/docs/examples/x402/,blockchain-data,transaction proof,adjacent,query x402 payment transactions & server analytics on-chain,https://docs.bitquery.io/.well-known/x402 (public manifest / project site)
agent402.tools,Agent402,https://agent402.tools,agent/mcp/marketplace,agent,adjacent,"~1,100 tools + open x402 index + leaderboard of sellers by settled USDC volume",https://agent402.tools/.well-known/x402 (public manifest / project site)
payapi.market,PayAPI Market,https://payapi.market,marketplace/proxy,api proxy,adjacent,"first x402 API marketplace (10 APIs, 65 endpoints)",https://payapi.market/.well-known/x402 (public manifest / project site)
x402.aigregator.com,Aigregator,https://x402.aigregator.com,marketplace/discovery,agent,adjacent,"structured data on 5,336+ AI tools, searchable + MCP",https://x402.aigregator.com/.well-known/x402 (public manifest / project site)
pyrimid.ai,Pyrimid,https://pyrimid.ai,marketplace/registry,agent,adjacent,on-chain vendor/product registry + payment router + live catalog,https://pyrimid.ai/.well-known/x402 (public manifest / project site)
ontarioprotocol.com,Ontario Protocol,https://ontarioprotocol.com,verification/facilitator,verification,adjacent,"trust scans & readiness verification, pre-payment checks, manifests",https://ontarioprotocol.com/.well-known/x402 (public manifest / project site)
sentinel-awms.onrender.com,Sentinel,https://sentinel-awms.onrender.com,verification/security,verification,adjacent,"trust verification for AI agents, OFAC screening, preflight checks",https://sentinel-awms.onrender.com/.well-known/x402 (public manifest / project site)
github.com,ZKProofport MCP,https://github.com/zkproofport/proofport-ai,attestation/zk,attestation,adjacent,"ZK identity proofs (KYC/Country/OIDC) via TEE, ERC-8004 registered",https://github.com/.well-known/x402 (public manifest / project site)
mcp.truealter.com,ALTER MCP,https://mcp.truealter.com,attestation/identity,attestation,adjacent,"Ed25519-signed identity vectors, tiered per-query",https://mcp.truealter.com/.well-known/x402 (public manifest / project site)
x402-wallet-readiness-service.vercel.app,Agent Commerce Desk,https://x402-wallet-readiness-service.vercel.app,receipt/agent,agent,adjacent,agent-commerce receipt + wallet readiness endpoints,https://x402-wallet-readiness-service.vercel.app/.well-known/x402 (public manifest / project site)
x402-parser-edge-mainnet.epicblubber.workers.dev,Fast PDF Parser,https://x402-parser-edge-mainnet.epicblubber.workers.dev,proof/agent,proof,adjacent,SHA-256-bound payment proofs with replay protection,https://x402-parser-edge-mainnet.epicblubber.workers.dev/.well-known/x402 (public manifest / project site)
x402-secure-api.t54.ai,x402-secure-api.t54.ai,https://x402-secure-api.t54.ai/x402/tools/get_overall_score,catalog-hit,security,adjacent,security;risk,https://x402-secure-api.t54.ai/.well-known/x402 (public manifest / project site)
x402.arvos.xyz,x402.arvos.xyz,https://x402.arvos.xyz/agent/smart-money,catalog-hit,agent,adjacent,agent,https://x402.arvos.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:68a6fae188ee7586a198c086,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:687e2a4457b6ecbe004244af,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
boofy.fun,boofy.fun,https://boofy.fun/api/mint,catalog-hit,risk,adjacent,risk,https://boofy.fun/.well-known/x402 (public manifest / project site)
api.ping.observer,api.ping.observer,https://api.ping.observer/mint,catalog-hit,risk,adjacent,risk,https://api.ping.observer/.well-known/x402 (public manifest / project site)
api.ping.observer,api.ping.observer,https://api.ping.observer/test-mint,catalog-hit,risk,adjacent,risk,https://api.ping.observer/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/PumpFunTokenAgent/query_recent_token_creation,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:687df68fb234010b7d33175c,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/UnifaiWeb3NewsAgent/get_web3_news,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:687df69ab234010b7d3317e5,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/swarm/qrn:swarm:687e1ddc1ff8a9609cbae139,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
pay.boo402.xyz,pay.boo402.xyz,https://pay.boo402.xyz/api/Payment/Mint,catalog-hit,agent,adjacent,agent,https://pay.boo402.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/copilot/qrn:copilot:tars,catalog-hit,signed,adjacent,signed;agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/TrendingTokenAgent/get_trending_tokens,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/FundingRateAgent/get_all_funding_rates,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:68f8b2fbbd72982773f4b112,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/PumpFunTokenAgent/query_latest_graduated_tokens,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/AIXBTProjectInfoAgent/get_market_summary,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
api.ping.observer,api.ping.observer,https://api.ping.observer/ping,catalog-hit,risk,adjacent,risk,https://api.ping.observer/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:68a68dea6913f9f1c46e2666,catalog-hit,signed,adjacent,signed;agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/swarm/qrn:swarm:68a3e9b26913f9f1c469f6b7,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/swarm/qrn:swarm:687e352657b6ecbe00424694,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/ZerionWalletAnalysisAgent/fetch_wallet_tokens,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/TwitterIntelligenceAgent/user_timeline,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/EtherscanAgent/get_erc20_top_holders,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
pay.boo402.xyz,pay.boo402.xyz,https://pay.boo402.xyz/api/Payment/MintV2,catalog-hit,agent,adjacent,agent,https://pay.boo402.xyz/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/AIXBTProjectInfoAgent/search_projects,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/TwitterIntelligenceAgent/twitter_search,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/swarm/qrn:swarm:687e405c57b6ecbe0042591e,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
api.ping.observer,api.ping.observer,https://api.ping.observer/mint-v3,catalog-hit,risk,adjacent,risk,https://api.ping.observer/.well-known/x402 (public manifest / project site)
mesh.heurist.xyz,mesh.heurist.xyz,https://mesh.heurist.xyz/x402/agents/TokenResolverAgent/profile,catalog-hit,agent,adjacent,agent,https://mesh.heurist.xyz/.well-known/x402 (public manifest / project site)
api.questflow.ai,api.questflow.ai,https://api.questflow.ai/x402/agent/qrn:agent:687df6abb234010b7d3318ae,catalog-hit,agent,adjacent,agent,https://api.questflow.ai/.well-known/x402 (public manifest / project site)
api.ping.observer,api.ping.observer,https://api.ping.observer/mint-v2,catalog-hit,risk,adjacent,risk,https://api.ping.observer/.well-known/x402 (public manifest / project site)
x402.arvos.xyz,x402.arvos.xyz,https://x402.arvos.xyz/agent/signal,catalog-hit,agent,adjacent,agent,https://x402.arvos.xyz/.well-known/x402 (public manifest / project site)
x402-secure-api.t54.ai,x402-secure-api.t54.ai,https://x402-secure-api.t54.ai/x402/tools/get_webpage_trust,catalog-hit,security,adjacent,security;risk;report,https://x402-secure-api.t54.ai/.well-known/x402 (public manifest / project site)
